SITE,Bird_ID,DATE,Time_ID,T_intervals,T_minutes,X_Estimate,Y_Estimate
TBS,13,18-Apr-03,4,2,30,372496.3281,70428.4369
TBS,13,18-Apr-03,6,2,30,372457.2192,70351.0692
TBS,13,20-Apr-03,1,,0,372455.6976,70670.312
TBS,13,20-Apr-03,2,1,15,372613.3188,70645.2967
TBS,13,20-Apr-03,3,1,15,372553.9914,70767.07
TBS,13,20-Apr-03,4,1,15,372588,70527.5445
TBS,13,20-Apr-03,5,1,15,372487.1968,70600.4702
TBS,13,20-Apr-03,6,1,15,372492.6551,70773.3824
TBS,13,20-Apr-03,7,1,15,372432.8809,70807.3868
TBS,13,20-Apr-03,8,1,15,372398.1283,70978.7317
TBS,13,20-Apr-03,9,1,15,372369.7066,71044.5639
TBS,13,23-Apr-03,2,,0,372497.82,70894.8868
TBS,13,5-May-03,4,,0,372577.6387,70061.2358
TBS,13,5-May-03,5,1,15,372674.099,70077.7583
TBS,13,5-May-03,6,1,15,373614.8729,67269.7528
TBS,13,5-May-03,9,3,45,373145.1949,68521.4949
TBS,13,8-May-03,1,,0,372487.7092,70456.5686
TBS,13,8-May-03,2,1,15,372404.9896,70141.5876
TBS,13,8-May-03,3,1,15,372246.4135,70154.8643
TBS,13,8-May-03,4,1,15,372304.4174,70005.1947
TBS,13,8-May-03,5,1,15,372320.4639,70026.6281
TBS,13,8-May-03,6,1,15,372486.0618,69840.2804
TBS,13,8-May-03,7,1,15,372401.8577,70129.0263
TBS,13,8-May-03,8,1,15,372518.3036,69927.3361
TBS,13,8-May-03,9,1,15,372611.7075,69212.1704
TBS,13,9-May-03,1,,0,372382.8101,69787.7658
TBS,13,15-May-03,2,1,15,372482.5566,69975.3421
TBS,13,15-May-03,3,1,15,372421.2424,70092.3973
TBS,13,15-May-03,4,1,15,372512.4392,69940.0354
TBS,13,15-May-03,5,1,15,372557.8491,69833.4131
TBS,13,15-May-03,6,1,15,372273.8171,68382.6652
TBS,13,15-May-03,7,1,15,372509.7537,70172.1726
TBS,13,15-May-03,8,1,15,372589.8747,69197.4671
TBS,13,15-May-03,9,1,15,372553.6971,70082.3767
TBS,13,15-May-03,10,1,15,372584.4833,70106.191
TBS,13,15-May-03,11,1,15,372781.1363,70111.7645
TBS,13,15-May-03,12,1,15,372658.2127,70013.2021
TBS,13,15-May-03,13,1,15,372467.1355,69791.2088
TBS,13,15-May-03,14,1,15,372494.6805,69930.72
TBS,13,15-May-03,15,1,15,372521.585,70045.6025
TBS,13,15-May-03,16,1,15,372470.5097,69731.8451
TBS,13,15-May-03,17,1,15,372443.6235,69738.8635
TBS,13,15-May-03,18,1,15,372059.0706,69776.0305
TBS,13,15-May-03,19,1,15,372101.0553,69872.5773
TBS,13,15-May-03,20,1,15,370953.1587,68673.0544
TBS,13,15-May-03,21,1,15,372535.582,69432.5468
TBS,13,15-May-03,22,1,15,372515.7922,69911.8088
TBS,13,15-May-03,23,1,15,372292.7511,69219.156
TBS,13,15-May-03,24,1,15,372550.0969,69795.2997
TBS,13,15-May-03,25,1,15,372479.3794,69342.7826
TBS,13,15-May-03,26,1,15,372335.6487,69594.191
TBS,13,16-May-03,1,,0,372863.855,69648.2855
TBS,13,16-May-03,2,1,15,372825.2926,69498.9662
TBS,13,16-May-03,3,1,15,372752.7794,69941.2618
TBS,13,16-May-03,4,1,15,372748.0898,69786.3715
TBS,13,16-May-03,5,1,15,372714.2848,69941.0591
TBS,13,16-May-03,6,1,15,372833.5179,69794.0035
TBS,13,16-May-03,7,1,15,372973.6867,68088.2202
TBS,13,16-May-03,8,1,15,372675.0071,69964.7018
TBS,13,18-May-03,1,,0,372278.6832,69696.0804
TBS,13,18-May-03,2,1,15,372619.1901,70027.1209
TBS,13,18-May-03,3,1,15,372545.7162,69599.996
TBS,13,18-May-03,4,1,15,372683.4102,69906.8719
TBS,13,18-May-03,5,1,15,372698.1061,70084.3951
TBS,13,18-May-03,6,1,15,372725.9616,70242.0215
TBS,13,18-May-03,7,1,15,372680.2366,70012.7246
